# nom	categorie	source — genere par tools/generer_index_hpcf.py
CCA Hydro (on-on-off-off)	in-ear	Super Review
CCA Hydro (on-on-on-on)	in-ear	Super Review
CCA NRA	711 in-ear	crinacle
CCA Pianist	in-ear	Harpo
CCA Pianist	in-ear	ToneDeafMonk
CCA PLA13	711 in-ear	crinacle
CCA PLA13	in-ear	Harpo
CCA Polaris (off-off-off-off)	in-ear	ToneDeafMonk
CCA Polaris (off-off-on-off)	in-ear	ToneDeafMonk
CCA Polaris (off-on-off-off)	in-ear	ToneDeafMonk
CCA Polaris (on-off-off-off)	in-ear	ToneDeafMonk
CCA Polaris (on-on-on-on)	in-ear	Jaytiss
CCA Rhapsody (off-off-off-off)	in-ear	Jaytiss
CCA Rhapsody (off-off-off-off)	in-ear	ToneDeafMonk
CCA Rhapsody (off-off-off-on)	in-ear	Jaytiss
CCA Rhapsody (off-off-on-off)	in-ear	ToneDeafMonk
CCA Rhapsody (off-off-on-on)	in-ear	Jaytiss
CCA Rhapsody (off-off-on-on)	in-ear	ToneDeafMonk
CCA Rhapsody (off-on-on-off)	in-ear	ToneDeafMonk
CCA Rhapsody (off-on-on-on)	in-ear	Jaytiss
CCA Rhapsody (on-off-off-off)	in-ear	ToneDeafMonk
CCA Rhapsody (on-off-on-off)	in-ear	ToneDeafMonk
CCA Rhapsody (on-on-off-off)	in-ear	ToneDeafMonk
CCA Rhapsody (on-on-on-off)	in-ear	ToneDeafMonk
CCA Rhapsody (on-on-on-on)	in-ear	Jaytiss
CCA Trio	in-ear	Jaytiss
CCA Trio (off-off-off-off)	in-ear	ToneDeafMonk
CCA Trio (off-off-on-on)	in-ear	ToneDeafMonk
CCA Trio (off-on-on-off)	in-ear	ToneDeafMonk
CCA Trio (off-on-on-on)	in-ear	ToneDeafMonk
CCA Trio (on-off-off-off)	in-ear	ToneDeafMonk
CCA Trio (on-off-off-on)	in-ear	ToneDeafMonk
CCA Trio (on-on-off-off)	in-ear	ToneDeafMonk
CCA Trio (on-on-on-off)	in-ear	ToneDeafMonk
CCA Trio (on-on-on-on)	in-ear	ToneDeafMonk
CCZ Emerald	in-ear	Regan Cipher
CCZ Melody	in-ear	Harpo
CCZ Plume	in-ear	Super Review
CCZ SOLO	in-ear	ToneDeafMonk
CCZ Warrior	in-ear	Fahryst
CHIKYU-SEKAI 16 Cosmos	711 in-ear	crinacle
CKLVX 1DD+4BA	in-ear	Jaytiss
Clariar i430	711 in-ear	crinacle
Clariar i640	711 in-ear	crinacle
Clear Tune CT-200	711 in-ear	crinacle
Clear Tune CT-300P	711 in-ear	crinacle
Clear Tune CT-6E	711 in-ear	crinacle
Clear Tune CT500-E	711 in-ear	crinacle
Cleer Next	over-ear	oratory1990
CMF by Nothing Buds 2 Plus (ANC off, pop)	in-ear	Regan Cipher
CMF by Nothing Buds 2 Plus (ANC on, pop)	in-ear	Regan Cipher
CMF by Nothing Buds Pro (ANC on, balanced EQ)	in-ear	DHRME
CMF by Nothing Buds Pro 2	Bruel & Kjaer 5128 in-ear	Rtings
CMF by Nothing by Nothin Buds Pro (ANC off)	in-ear	Filk
Co-Donguri Brass	in-ear	RikudouGoku
Co-Donguri Brass	in-ear	Super Review
Co-Donguri Shizuku	in-ear	Super Review
Colorfly Quintet	711 in-ear	crinacle
Colorfly Quintet	in-ear	Super Review
Colorfly Silver Reference	in-ear	Super Review
Colorfly Silver Reference	in-ear	ToneDeafMonk
Comradz NW-STUDIO	earbud	Innerfidelity
Comradz NW-STUDIO PRO	earbud	Innerfidelity
Cooler Master MH630	HMS II.3 over-ear	Rtings
Cooler Master MH751	HMS II.3 over-ear	Rtings
Cooler Master MH752	over-ear	oratory1990
Corsair HS35	HMS II.3 over-ear	Rtings
Corsair HS50	HMS II.3 over-ear	Rtings
Corsair HS60	HMS II.3 over-ear	Rtings
Corsair HS60 HAPTIC	HMS II.3 over-ear	Rtings
Corsair HS60 PRO SURROUND	HMS II.3 over-ear	Rtings
Corsair HS70 Bluetooth	HMS II.3 over-ear	Rtings
Corsair HS70 Pro	over-ear	Filk
Corsair HS70 Wireless	HMS II.3 over-ear	Rtings
Corsair HS75 XB WIRELESS	HMS II.3 over-ear	Rtings
Corsair HS80 MAX WIRELESS	HMS II.3 over-ear	Rtings
Corsair HS80 RGB WIRELESS	HMS II.3 over-ear	Rtings
Corsair VIRTUOSO PRO	Bruel & Kjaer 5128 over-ear	Rtings
Corsair Virtuoso RGB Wireless SE	HMS II.3 over-ear	Rtings
Corsair VIRTUOSO RGB Wireless XT	HMS II.3 over-ear	Rtings
Corsair Void Elite	HMS II.3 over-ear	Rtings
Corsair Void PRO RGB	HMS II.3 over-ear	Rtings
Cosmic Ears CE6B	in-ear	oratory1990
Cougar Immersa	HMS II.3 over-ear	Rtings
Cowin Apex Elite	HMS II.3 in-ear	Rtings
Cowin E7	HMS II.3 over-ear	Rtings
Cowin E7 (wired, ANC off)	over-ear	Innerfidelity
Cowin E7 Pro	HMS II.3 over-ear	Rtings
Cowin E8	HMS II.3 over-ear	Rtings
Cowin SE7	HMS II.3 over-ear	Rtings
Cozoy Hera C103	in-ear	Hi End Portable
Cozoy Trio	711 in-ear	crinacle
Craft Ears Argentum	711 in-ear	crinacle
Craft Ears Aurum	711 in-ear	crinacle
Craft Ears Craft SIX	711 in-ear	crinacle
Craft Ears Craft SIX (CIEM)	711 in-ear	crinacle
Craft Ears Craft TWO	711 in-ear	crinacle
Craft Ears Cuprum	711 in-ear	crinacle
Craft Ears Omnium	in-ear	Jaytiss
Creative Aurvana	over-ear	Innerfidelity
Creative Aurvana Ace	in-ear	oratory1990
Creative Aurvana Ace 2	in-ear	Kazi
Creative Aurvana Ace 2	in-ear	Regan Cipher
Creative Aurvana Ace 2	HMS II.3 in-ear	Rtings
Creative Aurvana Ace 2 (Ambient mode on)	GRAS RA0045 in-ear	HypetheSonics
Creative Aurvana Ace 2 (ANC Off)	GRAS RA0045 in-ear	HypetheSonics
Creative Aurvana Ace 2 (ANC Off)	in-ear	Regan Cipher
Creative Aurvana Ace 2 (ANC On)	GRAS RA0045 in-ear	HypetheSonics
Creative Aurvana Ace 2 (ANC On)	in-ear	Regan Cipher
Creative Aurvana Gold	HMS II.3 over-ear	Rtings
Creative Aurvana In Ear 3	in-ear	Innerfidelity
Creative Aurvana Live!	over-ear	Filk
Creative Aurvana Live!	over-ear	oratory1990
Creative Aurvana Live!	over-ear	Super Review
Creative Aurvana Live! (Brainwavz PU leather earpads)	over-ear	Filk
Creative Aurvana Live! (Brainwavz sheepskin earpads)	over-ear	Filk
Creative Aurvana Live! (Brainwavz small oval perforated earpads)	over-ear	Super Review
Creative Aurvana Live! 2	over-ear	Innerfidelity
Creative Aurvana Live! 2	over-ear	oratory1990
Creative Aurvana Mimi (ANC off)	in-ear	Regan Cipher
Creative Aurvana Mimi (ANC on)	in-ear	Regan Cipher
Creative Aurvana Trio	711 in-ear	crinacle
Creative Aurvana Trio LS	in-ear	Harpo
Creative Fatal1ty	over-ear	Innerfidelity
Creative Labs Aurvana Ace 2 (ANC off, flat eq)	in-ear	DHRME
Creative Labs Aurvana Ace 2 (ANC on, flat eq)	in-ear	DHRME
Creative Outlier Air	HMS II.3 in-ear	Rtings
Creative Outlier Air V2	HMS II.3 in-ear	Rtings
Creative Outlier Free Pro Plus	in-ear	Regan Cipher
Creative Outlier Pro	in-ear	Regan Cipher
Creative Sensemore Air	in-ear	Regan Cipher
Creative Sound Blaster EVO ZxR	HMS II.3 over-ear	Rtings
Creative Sound BlasterX H5	HMS II.3 over-ear	Rtings
Creative Sound Blasterx H6 (analog input)	over-ear	oratory1990
Creative SXFI Air	HMS II.3 over-ear	Rtings
Creative Zen Air	in-ear	Filk
Creative Zen Air DOT	in-ear	Filk
Creative Zen Hybrid (ANC off)	over-ear	Filk
Creative Zen Hybrid (ANC on)	over-ear	Filk
Creative Zen Hybrid (passive)	over-ear	Filk
Creative Zen Hybrid Pro (ANC off)	over-ear	Filk
Creative Zen Hybrid Pro (ANC on)	over-ear	Filk
Creative Zen Hybrid Pro SXFI	over-ear	Regan Cipher
CrinEar Daybreak	in-ear	Super Review
CrinEar Meta	in-ear	Jaytiss
CrinEar Meta	in-ear	Super Review
Custom Art Ei.3	711 in-ear	crinacle
Custom Art FIBAE 1	711 in-ear	crinacle
Custom Art FIBAE 2	711 in-ear	crinacle
Custom Art FIBAE 3	711 in-ear	crinacle
Custom Art FIBAE 4	711 in-ear	crinacle
Custom Art Fibae 5	in-ear	Jaytiss
Custom Art FIBAE 7	711 in-ear	crinacle
Custom Art FIBAE 7 Unlimited	in-ear	Super Review
Custom Art FIBAE Black	711 in-ear	crinacle
Custom Art FIBAE ME	711 in-ear	crinacle
Custom Art Harmony 8.2	711 in-ear	crinacle
Custom Art Pro330v2	711 in-ear	crinacle
CVJ Aria	in-ear	Jaytiss
CVJ Aria 2025 (blue nozzle)	in-ear	ToneDeafMonk
CVJ Aria 2025 (gold nozzle)	in-ear	ToneDeafMonk
CVJ Aria 2025 (silver nozzle)	in-ear	ToneDeafMonk
CVJ Assassin (off-off)	in-ear	ToneDeafMonk
CVJ Assassin (off-on)	in-ear	ToneDeafMonk
CVJ Assassin (on-off)	in-ear	ToneDeafMonk
CVJ Assassin (on-on)	in-ear	ToneDeafMonk
CVJ Konoka (off-off)	in-ear	RikudouGoku
CVJ Konoka (off-on)	in-ear	RikudouGoku
CVJ Konoka (on-off)	in-ear	RikudouGoku
CVJ Konoka (on-on)	in-ear	RikudouGoku
CVJ Mei (off-off)	in-ear	ToneDeafMonk
CVJ Mei (off-on)	in-ear	ToneDeafMonk
CVJ Mei (on-off)	in-ear	ToneDeafMonk
CVJ Mei (on-on)	in-ear	ToneDeafMonk
CVJ Mermaid II	in-ear	ToneDeafMonk
CVJ Shadowblade	in-ear	Jaytiss
CVJ ShadowBlade (black nozzle)	in-ear	Jaytiss
CVJ ShadowBlade (black nozzle)	in-ear	ToneDeafMonk
CVJ ShadowBlade (gold nozzle)	in-ear	Jaytiss
CVJ ShadowBlade (gold nozzle)	in-ear	ToneDeafMonk
CVJ ShadowBlade (silver nozzle)	in-ear	ToneDeafMonk
CVJ TXS (off-off)	in-ear	ToneDeafMonk
CVJ TXS (off-on)	in-ear	ToneDeafMonk
CVJ TXS (on-on)	in-ear	ToneDeafMonk
CVJ Yakumi	in-ear	ToneDeafMonk
Cyberdrive Forte Classic Bass	in-ear	Innerfidelity
Cyberdrive Forte Classic Soprano	in-ear	Innerfidelity
Cyberdrive Forte Impact Bass	in-ear	Innerfidelity
Cypher Labs Astru IEM	in-ear	Innerfidelity
Cypher Labs Astru IEM (bass boost filter)	in-ear	Innerfidelity
Cypherus Audio Campfred	earbud	HypetheSonics
Daiso $2 earphones	711 in-ear	crinacle
Dali IO-4	over-ear	oratory1990
Dali IO-6	over-ear	oratory1990
Dan Clark Audio Aeon 2 Closed	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Aeon 2 Closed	over-ear	HypetheSonics
Dan Clark Audio Aeon 2 Closed	over-ear	oratory1990
Dan Clark Audio Aeon 2 Closed (perforated earpads)	over-ear	oratory1990
Dan Clark Audio Aeon 2 Noire	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Aeon 2 Noire	over-ear	oratory1990
Dan Clark Audio Aeon 2 Open	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Aeon 2 Open	over-ear	HypetheSonics
Dan Clark Audio Aeon 2 Open	over-ear	oratory1990
Dan Clark Audio Aeon Closed RT	over-ear	oratory1990
Dan Clark Audio Aeon Flow Closed	over-ear	HypetheSonics
Dan Clark Audio Aeon Flow Closed	over-ear	Innerfidelity
Dan Clark Audio Aeon Flow Closed	over-ear	oratory1990
Dan Clark Audio Aeon Flow Closed (black filter)	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Aeon Flow Closed (filters)	over-ear	Innerfidelity
Dan Clark Audio Aeon Flow Closed (white filter with one notch)	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Aeon Flow Open	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Aeon Flow Open (white filter with one notch)	over-ear	Innerfidelity
Dan Clark Audio Aeon Open	over-ear	oratory1990
Dan Clark Audio Aeon X Closed	over-ear	oratory1990
Dan Clark Audio Aeon X Open	over-ear	oratory1990
Dan Clark Audio Alpha Dog (2014)	over-ear	Innerfidelity
Dan Clark Audio Alpha Prime	over-ear	Innerfidelity
Dan Clark Audio E3	over-ear	kr0mka
Dan Clark Audio E3	over-ear	Kuulokenurkka
Dan Clark Audio E3	over-ear	oratory1990
Dan Clark Audio E3	over-ear	Super Review
Dan Clark Audio Ether 2	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Ether 2	over-ear	HypetheSonics
Dan Clark Audio Ether 2	over-ear	oratory1990
Dan Clark Audio Ether C	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Ether C	over-ear	oratory1990
Dan Clark Audio Ether C (1 black filter)	over-ear	Innerfidelity
Dan Clark Audio Ether C (2 black filters)	over-ear	Innerfidelity
Dan Clark Audio Ether C Flow	over-ear	oratory1990
Dan Clark Audio Ether C Flow 1.1	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Ether C Flow 1.1	over-ear	oratory1990
Dan Clark Audio Ether CX	over-ear	oratory1990
Dan Clark Audio Ether Flow	over-ear	Innerfidelity
Dan Clark Audio Ether Flow	over-ear	oratory1990
Dan Clark Audio Ether Flow 1.1	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Ether Flow 1.1	over-ear	oratory1990
Dan Clark Audio EXPANSE	over-ear	oratory1990
Dan Clark Audio EXPANSE	over-ear	Super Review
Dan Clark Audio Mad Dog	over-ear	Innerfidelity
Dan Clark Audio Mad Dog (2014)	over-ear	Innerfidelity
Dan Clark Audio Noire X	over-ear	oratory1990
Dan Clark Audio Stealth	GRAS 43AG-7 over-ear	crinacle
Dan Clark Audio Stealth	over-ear	Kuulokenurkka
Dan Clark Audio Stealth	over-ear	oratory1990
Dan Clark Audio Stealth	over-ear	Super Review
Dan Clark Audio Voce	GRAS 43AG-7 over-ear	crinacle
Dark Project HS4 Wireless (breathable earpads, passive)	over-ear	Filk
Dark Project HS4 Wireless (breathable earpads, wireless)	over-ear	Filk
Dark Project HS4 Wireless (leather earpads, passive)	over-ear	Filk
Dark Project HS4 Wireless (leather earpads, wireless)	over-ear	Filk
Dark Project Sono	over-ear	Filk
DCMEKA IE68	GRAS RA0045 in-ear	HypetheSonics
ddHiFi E2020A Janus	711 in-ear	crinacle
ddHiFi Janus3	in-ear	ToneDeafMonk
ddHiFi Surface	in-ear	ToneDeafMonk
Debauche Bacchus Monroe	in-ear	Hi End Portable
Defunc Mondo Freestyle	over-ear	Kuulokenurkka
Delta Air complimentary earphones	711 in-ear	crinacle
Denon AH-C260R	in-ear	Headphone.com Legacy
Denon AH-C351K	in-ear	Headphone.com Legacy
Denon AH-C360	in-ear	Headphone.com Legacy
Denon AH-C360	in-ear	Innerfidelity
Denon AH-C452K	in-ear	Headphone.com Legacy
Denon AH-C551	in-ear	Innerfidelity
Denon AH-C551K	in-ear	Headphone.com Legacy
Denon AH-C560R	in-ear	Headphone.com Legacy
Denon AH-C560R	in-ear	Innerfidelity
Denon AH-C710	in-ear	Headphone.com Legacy
Denon AH-C710	in-ear	Innerfidelity
Denon AH-C751K	in-ear	Headphone.com Legacy
Denon AH-D1001	over-ear	Innerfidelity
Denon AH-D1001K Silver	over-ear	Headphone.com Legacy
Denon AH-D1100	over-ear	Headphone.com Legacy
Denon AH-D1100	over-ear	Innerfidelity
Denon AH-D2000	over-ear	Headphone.com Legacy
Denon AH-D2000	over-ear	Innerfidelity
Denon AH-D2000 (2012)	over-ear	Innerfidelity
Denon AH-D2000 (JMoney earpads)	over-ear	Innerfidelity
Denon AH-D310R	over-ear	Headphone.com Legacy
Denon AH-D400	over-ear	Innerfidelity
Denon AH-D5000	GRAS 43AG-7 over-ear	crinacle
Denon AH-D5000	over-ear	Headphone.com Legacy
Denon AH-D5000	over-ear	Innerfidelity
Denon AH-D5000 (JMoney earpads)	over-ear	Innerfidelity
Denon AH-D5200	GRAS 43AG-7 over-ear	crinacle
Denon AH-D5200	over-ear	Kuulokenurkka
Denon AH-D5200	over-ear	oratory1990
Denon AH-D600	over-ear	Headphone.com Legacy
Denon AH-D600	over-ear	Innerfidelity
Denon AH-D7000	over-ear	Headphone.com Legacy
Denon AH-D7000	over-ear	Innerfidelity
Denon AH-D7000 (2012)	over-ear	Innerfidelity
Denon AH-D7100	over-ear	Headphone.com Legacy
Denon AH-D7100	over-ear	Innerfidelity
Denon AH-D7200	GRAS 43AG-7 over-ear	crinacle
Denon AH-D7200	over-ear	oratory1990
Denon AH-D9200	GRAS 43AG-7 over-ear	crinacle
Denon AH-D9200	over-ear	Kuulokenurkka
Denon AH-D9200	over-ear	oratory1990
Denon AH-NC732K	over-ear	Headphone.com Legacy
Denon AHGC20 Globe Cruiser	HMS II.3 over-ear	Rtings
Denon PerL Pro	HMS II.3 in-ear	Rtings
Denon Perl Pro (ANC On, flat eq)	in-ear	DHRME
Dethonray Tender I	711 in-ear	crinacle
Dethonray Tender I	Bruel & Kjaer 4620 in-ear	crinacle
Devialet Gemini	in-ear	Harpo
Devialet Gemini II	Bruel & Kjaer 5128 in-ear	Rtings
Diskin DH3	HMS II.3 over-ear	Rtings
Dita Audio Answer	711 in-ear	crinacle
Dita Audio Brass	711 in-ear	crinacle
Dita Audio Dream	711 in-ear	crinacle
Dita Audio Dream XLS	711 in-ear	crinacle
Dita Audio Dream XLS	in-ear	Jaytiss
Dita Audio Fealty	711 in-ear	crinacle
Dita Audio Fidelity	711 in-ear	crinacle
Dita Audio Mecha	in-ear	Jaytiss
Dita Audio Mecha	in-ear	Super Review
Dita Audio Mecha	in-ear	ToneDeafMonk
Dita Audio Perpetua	711 in-ear	crinacle
Dita Audio Prelude	in-ear	ToneDeafMonk
Dita Audio Project 71	711 in-ear	crinacle
Dita Audio Project M	in-ear	Fahryst
Dita Audio Project M	in-ear	Jaytiss
Dita Audio Project M	in-ear	Kazi
Dita Audio Project M (foam eartips)	in-ear	ToneDeafMonk
Dita Audio Project M (silicone eartips)	in-ear	ToneDeafMonk
Dita Audio Sakura 71	711 in-ear	crinacle
Dita Audio Truth	711 in-ear	crinacle
DMS Project Omega	over-ear	Super Review
Dolby Dimension	HMS II.3 over-ear	Rtings
DubsLabs Bedphones	over-ear	Innerfidelity
DUNU DaVinci	in-ear	Kazi
DUNU DK2001	711 in-ear	crinacle
DUNU DK3001 BD	in-ear	Jaytiss
DUNU DK3001 BD	in-ear	Regan Cipher
DUNU DK3001 BD	in-ear	Super Review
DUNU DK3001 Pro	711 in-ear	crinacle
DUNU DK3001BD	in-ear	Super Review
DUNU DK4001	711 in-ear	crinacle
DUNU DK4001	Bruel & Kjaer 4620 in-ear	crinacle
DUNU DK4001	GRAS RA0045 in-ear	HypetheSonics
DUNU DM380	in-ear	Harpo
DUNU DN1000	711 in-ear	crinacle
DUNU DN1000	in-ear	Hi End Portable
DUNU DN1000	in-ear	Innerfidelity
DUNU DN2000	711 in-ear	crinacle
DUNU DN2000	in-ear	Innerfidelity
DUNU DN2000J	in-ear	Innerfidelity
DUNU DN2002	711 in-ear	crinacle
DUNU DN900	in-ear	Innerfidelity
DUNU EST 112	711 in-ear	crinacle
DUNU EST 112	Bruel & Kjaer 4620 in-ear	crinacle
DUNU EST 112	in-ear	Harpo
DUNU EST 112	in-ear	Jaytiss
DUNU EST 112	in-ear	RikudouGoku
DUNU EST 112	in-ear	Super Review
DUNU Falcon Pro (Atmospheric Immersion filter)	711 in-ear	crinacle
DUNU Falcon Pro (Atmospheric Immersion filter)	in-ear	Hi End Portable
DUNU Falcon Pro (Atmospheric Immersion filter)	in-ear	RikudouGoku
DUNU Falcon Pro (Atmospheric Immersion filter)	in-ear	Super Review
DUNU Falcon Pro (Reference filter)	711 in-ear	crinacle
DUNU Falcon Pro (Reference filter)	in-ear	Hi End Portable
DUNU Falcon Pro (Reference filter)	in-ear	RikudouGoku
DUNU Falcon Pro (Reference filter)	in-ear	Super Review
DUNU Falcon Pro (Transparency filter)	711 in-ear	crinacle
DUNU Falcon Pro (Transparency filter)	in-ear	Hi End Portable
DUNU Falcon Pro (Transparency filter)	in-ear	RikudouGoku
DUNU Falcon Pro (Transparency filter)	in-ear	Super Review
DUNU Falcon Ultra	in-ear	Jaytiss
DUNU Falcon Ultra (blue nozzle)	in-ear	freeryder05
DUNU Falcon Ultra (blue nozzle)	in-ear	Hi End Portable
DUNU Falcon Ultra (blue nozzle)	in-ear	Regan Cipher
DUNU Falcon Ultra (blue nozzle)	in-ear	Super Review
DUNU Falcon Ultra (blue nozzle)	in-ear	ToneDeafMonk
DUNU Falcon Ultra (brass nozzle)	in-ear	ToneDeafMonk
DUNU Falcon Ultra (gold nozzle)	in-ear	freeryder05
DUNU Falcon Ultra (gold nozzle)	in-ear	Hi End Portable
DUNU Falcon Ultra (gold nozzle)	in-ear	Regan Cipher
DUNU Falcon Ultra (gold nozzle)	in-ear	Super Review
DUNU Glacier	in-ear	Jaytiss
DUNU Glacier	in-ear	Super Review
DUNU Kima	711 in-ear	crinacle
DUNU Kima	Bruel & Kjaer 4620 in-ear	crinacle
DUNU Kima	in-ear	Fahryst
DUNU Kima	in-ear	Hi End Portable
DUNU Kima	in-ear	Kazi
DUNU Kima	in-ear	Super Review
DUNU Kima 2	in-ear	Jaytiss
DUNU Kima 2	in-ear	Regan Cipher
DUNU Kima 2	in-ear	Super Review
DUNU Kima Classic	in-ear	freeryder05
DUNU Luna	711 in-ear	crinacle
DUNU Luna	GRAS RA0045 in-ear	HypetheSonics
DUNU Mirai	in-ear	Jaytiss
DUNU Mirai	in-ear	Super Review
DUNU SA3	in-ear	Super Review
DUNU SA6 (atmospheric Immersion mode)	711 in-ear	crinacle
DUNU SA6 (atmospheric Immersion mode)	in-ear	Super Review
DUNU SA6 (default mode)	711 in-ear	crinacle
DUNU SA6 (default mode)	in-ear	Super Review
DUNU SA6 EST	in-ear	Kazi
DUNU SA6 EST	in-ear	Super Review
DUNU SA6 MK2	in-ear	Jaytiss
DUNU SA6 MK2 (Atmospheric Immersion mode)	in-ear	Super Review
DUNU SA6 MK2 (Atmospheric Immersion mode)	in-ear	ToneDeafMonk
DUNU SA6 MK2 (default mode)	in-ear	Super Review
DUNU SA6 MK2 (default mode)	in-ear	ToneDeafMonk
DUNU SA6 Ultra (atmospheric immersion mode)	in-ear	Bakkwatan
DUNU SA6 Ultra (atmospheric immersion mode)	711 in-ear	crinacle
DUNU SA6 Ultra (atmospheric immersion mode)	in-ear	Super Review
DUNU SA6 Ultra (default mode)	in-ear	Bakkwatan
DUNU SA6 Ultra (default mode)	711 in-ear	crinacle
DUNU SA6 Ultra (default mode)	in-ear	Super Review
DUNU Talos	in-ear	Jaytiss
DUNU Talos	in-ear	Kazi
DUNU Talos (BA off)	711 in-ear	crinacle
DUNU Talos (BA off)	in-ear	Super Review
DUNU Talos (BA on)	711 in-ear	crinacle
DUNU Talos (BA on)	in-ear	Super Review
DUNU Titan 1	711 in-ear	crinacle
DUNU Titan 1	in-ear	Innerfidelity
DUNU Titan 3	711 in-ear	crinacle
DUNU Titan 3	in-ear	Innerfidelity
DUNU Titan 5	in-ear	Innerfidelity
DUNU Titan S	in-ear	Auriculares Argentina
DUNU Titan S	711 in-ear	crinacle
DUNU Titan S	in-ear	Hi End Portable
DUNU Titan S	in-ear	RikudouGoku
DUNU Titan S	in-ear	Ted's Squig Hoard
DUNU Titan S2	in-ear	Jaytiss
DUNU Titan S2	in-ear	Regan Cipher
DUNU Titan S2	in-ear	RikudouGoku
DUNU Titan S2	in-ear	Super Review
DUNU Titan S2	in-ear	ToneDeafMonk
DUNU Vulkan	711 in-ear	crinacle
DUNU Vulkan	in-ear	Harpo
DUNU Vulkan	in-ear	Jaytiss
DUNU Vulkan	in-ear	RikudouGoku
DUNU Vulkan	in-ear	Super Review
DUNU Vulkan	in-ear	ToneDeafMonk
DUNU Vulkan (gray eartips)	in-ear	Super Review
DUNU Vulkan (red eartips)	in-ear	Super Review
DUNU Vulkan 2	in-ear	Jaytiss
DUNU x Gizaudio DaVinci	in-ear	Jaytiss
DUNU x Gizaudio DaVinci	in-ear	Super Review
DUNU x Gizaudio DaVinci	in-ear	ToneDeafMonk
DUNU Zen	711 in-ear	crinacle
DUNU Zen	Bruel & Kjaer 4620 in-ear	crinacle
DUNU Zen	in-ear	Kazi
DUNU Zen	in-ear	RikudouGoku
DUNU Zen	in-ear	Super Review
DUNU Zen Pro	711 in-ear	crinacle
DUNU Zen Pro	in-ear	Kazi
DUNU Zen Pro	in-ear	Super Review
Dynamic Motion DM200H	711 in-ear	crinacle
Dyson OnTrac	Bruel & Kjaer 5128 over-ear	Rtings
Dyson OnTrac (ANC off, enhanced)	over-ear	Kuulokenurkka
Dyson OnTrac (ANC off, neutral)	over-ear	Kuulokenurkka
Dyson OnTrac (bass boost)	over-ear	Kuulokenurkka
Dyson OnTrac (enhanced)	over-ear	Kuulokenurkka
Dyson OnTrac (neutral)	over-ear	Kuulokenurkka
Dyson Zone	GRAS 43AG-7 over-ear	crinacle
Dyson Zone	over-ear	oratory1990
Dyson Zone	HMS II.3 over-ear	Rtings
E-Mu Purpleheart	over-ear	Innerfidelity
E-Mu Teak	GRAS 43AG-7 over-ear	crinacle
E-Mu Teak	over-ear	oratory1990
E-Mu Teak (2016)	over-ear	Innerfidelity
E-Mu Teak (mahogany)	over-ear	Innerfidelity
E-Mu Teak (rosewood)	over-ear	Innerfidelity
E-Mu Walnut	GRAS 43AG-7 over-ear	crinacle
E-Mu Walnut	over-ear	Innerfidelity
EarAcoustic Audio SPA Hi-End Max	in-ear	Fahryst
EarAcoustic Audio SPA Hi-End Max	in-ear	Jaytiss
EarFun Air 2 NC	in-ear	DHRME
EarFun Air 2 NC (ANC off)	in-ear	Regan Cipher
EarFun Air 2 NC (ANC on)	in-ear	Regan Cipher
EarFun Air Pro	HMS II.3 in-ear	Rtings
EarFun Air Pro 2 (2021)	HMS II.3 in-ear	Rtings
EarFun Air Pro 2 (A eartips)	in-ear	DHRME
EarFun Air Pro 2 (B eartips)	in-ear	DHRME
EarFun Air Pro 3	in-ear	DHRME
EarFun Air Pro 3	in-ear	Regan Cipher
EarFun Air Pro 3	HMS II.3 in-ear	Rtings
EarFun Air Pro 3 (ANC noise cancelling, default EQ)	in-ear	DHRME
EarFun Air Pro 3 (ANC normal, default EQ)	in-ear	DHRME
EarFun Air Pro 4 (ANC off)	in-ear	Regan Cipher
EarFun Air Pro 4 (ANC on)	in-ear	Regan Cipher
EarFun EH100 (black ring)	in-ear	DHRME
EarFun EH100 (red ring)	in-ear	DHRME
EarFun Free	711 in-ear	crinacle
EarFun Free	HMS II.3 in-ear	Rtings
EarFun Free Pro	in-ear	DHRME
EarFun Free Pro (Oluv Edition)	711 in-ear	crinacle
EarFun Free Pro (Oluv Edition)	in-ear	oratory1990
EarFun Free Pro (Oluv Edition, ANC off)	in-ear	Super Review
EarFun Free Pro (Oluv Edition, ANC on)	in-ear	Super Review
EarFun Free Pro 3 (ANC off, default EQ)	in-ear	DHRME
EarFun Wave	over-ear	oratory1990
EarFun Wave Pro (ANC off)	over-ear	Regan Cipher
EarFun Wave Pro (ANC on)	over-ear	Regan Cipher
EarSonics Blade	711 in-ear	crinacle
EarSonics EM10	711 in-ear	crinacle
EarSonics EM32	711 in-ear	crinacle
EarSonics EM4	711 in-ear	crinacle
EarSonics EM6	711 in-ear	crinacle
EarSonics ES2	711 in-ear	crinacle
EarSonics ES3	711 in-ear	crinacle
EarSonics ES3	in-ear	Innerfidelity
